載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名,,
手機條碼,20260326,YW0xxxx025,33,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,33,33,C零卡可_小,,
手機條碼,20260324,YH2xxxx639,1221,開立已確認,否,27365925,富邦媒體科技股份有限公司,台北市內湖區洲子街96號4樓,,1,1221,1221,【Team 十銓】X1 MAX 128GB USB 3.2  Gen2 TYPE-C 雙介面勁速固態行動碟(讀取1000MB/s 五年保固),,
手機條碼,20260322,YM4xxxx870,0,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,3,0,0,A印花貼紙張,,
手機條碼,20260322,YM4xxxx870,65,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,65,65,P.C消臭休閒襪,,
手機條碼,20260322,YM4xxxx870,99,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,99,99,鱷魚男針織平口,,
手機條碼,20260322,YM4xxxx870,57,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,57,57,豆漿燕麥,,
手機條碼,20260322,YM4xxxx870,159,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,159,159,穀食海鹽濃可可,,
手機條碼,20260322,YM4xxxx870,159,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,159,159,穀食輕焙烤堅果,,
手機條碼,20260322,YM4xxxx870,33,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,33,33,EnergyVit+白葡,,
手機條碼,20260322,YM4xxxx870,33,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,33,33,Energy元氣 +,,
手機條碼,20260322,YM4xxxx870,29,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,29,29,桂格養蔘蜂蜜飲,,
手機條碼,20260322,YM4xxxx870,-17,開立已確認,否,54371680,全聯實業股份有限公司梧棲文化分公司,臺中市梧棲區文化路2段85號,,1,-17,-17,折讓,,
手機條碼,20260322,YH5xxxx389,489,開立已確認,否,27233495,燦坤實業股份有限公司梧棲分公司,臺中市梧棲區文化路二段205號,,1,489,489,廣穎 B02 128GB(黑)隨身碟 型號:SP128GBUF3B02V1K,,
手機條碼,20260322,YH5xxxx***,,作廢已確認,否,27233495,燦坤實業股份有限公司梧棲分公司,臺中市梧棲區文化路二段205號,,,,,,,
MFS Gmail,20260322,YB3xxxx205,581,開立已確認,否,42523557,Google Asia Pacific Pte Ltd,台北市信義區,,1,581,581,Google Play 應用程式,,
手機條碼,20260321,ZJ9xxxx236,549,開立已確認,否,89081568,台東地區農會埤南采風伴手館,臺東縣臺東市卑南里更生北路120號,,12,50,549,釋迦米乖乖,,
手機條碼,20260321,YJ9xxxx503,229,開立已確認,否,88610528,新東陽股份有限公司國道西螺門市部,648雲林縣西螺鎮振興里1鄰高速公路西螺休息站1、2號,,1,229,229,原汁牛肉麵套餐,,
手機條碼,20260321,YJ9xxxx503,165,開立已確認,否,88610528,新東陽股份有限公司國道西螺門市部,648雲林縣西螺鎮振興里1鄰高速公路西螺休息站1、2號,,1,165,165,番茄肉醬乾拌麵套餐,,
cube iCash 2.0,20260321,YG8xxxx989,39,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號1樓,,1,39,39,(吊)滿漢小香腸(蒜味),,
cube iCash 2.0,20260321,YG8xxxx989,50,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號1樓,,1,50,50,(選)福記香鐵蛋-原味鵪鶉蛋,,
cube iCash 2.0,20260321,YG8xxxx989,30,開立已確認,否,89045705,南仁湖育樂股份有限公司大武營業所,台東縣大武鄉尚武村環港路56號1樓,,1,30,30,(A)*伯朗咖啡CAN240,,
手機條碼,20260320,ZN0xxxx237,69,開立已確認,否,29443525,正統百貨五金行,950臺東縣臺東市更生北路552號,,1,69,69,高露潔強效潔淨牙刷4入,,
手機條碼,20260320,ZN0xxxx237,29,開立已確認,否,29443525,正統百貨五金行,950臺東縣臺東市更生北路552號,,1,29,29,白人兒童牙膏-草莓/蘋果/橘子,,
手機條碼,20260320,ZN0xxxx237,25,開立已確認,否,29443525,正統百貨五金行,950臺東縣臺東市更生北路552號,,1,25,25,刷樂個性小個子牙刷,,
cube iCash 2.0,20260320,YK6xxxx605,29,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,29,29,(A)*台鹽海洋鹼性離子水PET850,,
cube iCash 2.0,20260320,YK6xxxx605,49,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,49,49,可爾必思蘇打PET500,,
cube iCash 2.0,20260320,YK6xxxx601,49,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,49,49,(吊)石安牧場溫泉蛋(2入),,
cube iCash 2.0,20260320,YK6xxxx601,85,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,85,85,萬歲牌杏仁小魚,,
cube iCash 2.0,20260320,YK6xxxx601,39,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,39,39,(吊)滿漢小香腸(蒜味),,
cube iCash 2.0,20260320,YK6xxxx601,45,開立已確認,否,89060199,全國加油站股份有限公司全國南州服務區加油站,屏東縣南州鄉勝利路38-6號,,1,45,45,蝦仁鹽味炒飯飯糰(圓),,
MFS Gmail,20260320,YC2xxxx783,290,開立已確認,否,88122703,Netflix Pte. Ltd.,臺北市信義區,,1,290,290,Subscription,,
手機條碼,20260316,YM1xxxx959,0,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,0,0,A印花貼紙張,,
手機條碼,20260316,YM1xxxx959,57,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,57,57,豆漿燕麥,,
手機條碼,20260316,YM1xxxx959,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食草莓,,
手機條碼,20260316,YM1xxxx959,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食蜜蕉巧,,
手機條碼,20260316,YM1xxxx959,-219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-219,-219,折讓,,
手機條碼,20260315,ZL8xxxx750,420,開立已確認,否,83777816,紘睿開發有限公司,804高雄市鼓山區惠安里鼓波街41號,,2,210,420,燒肉豚白湯烏龍麵,,
手機條碼,20260315,ZL8xxxx750,220,開立已確認,否,83777816,紘睿開發有限公司,804高雄市鼓山區惠安里鼓波街41號,,1,220,220,檸香雞柳咖哩醬拌烏龍麵,,
手機條碼,20260315,ZL8xxxx750,210,開立已確認,否,83777816,紘睿開發有限公司,804高雄市鼓山區惠安里鼓波街41號,,1,210,210,燒肉豚咖哩醬拌烏龍麵,,
手機條碼,20260315,ZJ5xxxx400,1072,開立已確認,否,93269522,千越加油站實業股份有限公司中都加油站,高雄市三民區中華橫路20號,,35.26,30.4,1072,九五無鉛汽油,,
手機條碼,20260315,ZJ5xxxx400,-28,開立已確認,否,93269522,千越加油站實業股份有限公司中都加油站,高雄市三民區中華橫路20號,,28,-1,-28,95無鉛汽油折抵額,,
手機條碼,20260315,ZC3xxxx830,299,開立已確認,否,92054903,日本橋資訊股份有限公司成功店,高雄市前鎮區忠純里中華五路１１１１號１樓,,1,498,299,藍牙鍵盤 繁體中文 觸控,,
手機條碼,20260315,YX7xxxx832,58,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,58,58,品客碳烤洋芋片102g,,
手機條碼,20260315,YX7xxxx832,28,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,28,28,大乾桶紅油擔擔,,
手機條碼,20260315,YX7xxxx832,199,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,259,199,岩燒海苔(量販包),,
手機條碼,20260315,YX7xxxx832,32,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,39,32,川味酸菜魚風味麵,,
手機條碼,20260315,YX7xxxx832,34,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,34,34,彎的草莓煉乳狠大包,,
手機條碼,20260315,YX7xxxx832,125,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,250,125,斑斑水果條(百香果),,
手機條碼,20260315,YX7xxxx832,125,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,250,125,斑斑水果條(黑醋栗),,
手機條碼,20260315,YX7xxxx832,66,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,85,66,檸檬奶油鬆塔,,
手機條碼,20260315,YX7xxxx832,28,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,35,28,海味魚蝦大賞風味麵,,
手機條碼,20260315,YX7xxxx832,47,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,47,47,海鹽洋芋片孜然,,
手機條碼,20260315,YX7xxxx832,199,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,199,199,無隱角EX亮白2入,,
手機條碼,20260315,YX7xxxx832,47,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,47,47,玫瑰鹽薄切洋芋片,,
手機條碼,20260315,YX7xxxx832,95,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,97,95,盛香珍綜合蒟蒻椰果,,
手機條碼,20260315,YX7xxxx832,55,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,55,55,科學麵20合1家庭號,,
手機條碼,20260315,YX7xxxx832,129,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,199,129,軟骨雨刷22吋,,
手機條碼,20260315,YX7xxxx832,99,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,110,99,翠果子MIDO航空米果,,
手機條碼,20260315,YX7xxxx832,28,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,35,28,老酒花雕雞風味麵,,
手機條碼,20260315,YX7xxxx831,45,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,50,45,可口可樂 Zero 2L,,
手機條碼,20260315,YX7xxxx831,45,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,50,45,可口可樂2L,,
手機條碼,20260315,YX7xxxx831,29,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,29,29,可爾必思草莓,,
手機條碼,20260315,YX7xxxx831,168,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,168,168,好麗友原味洋芋片,,
手機條碼,20260315,YX7xxxx831,119,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,119,119,小老板海苔棒棒捲原,,
手機條碼,20260315,YX7xxxx831,159,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,205,159,格力高原味杏仁果飲,,
手機條碼,20260315,YX7xxxx831,149,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,200,149,樂事脆薯限量熱銷組,,
手機條碼,20260315,YX7xxxx831,134,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,2,76,134,福樂雙麥牛乳200ml,,
手機條碼,20260315,YX7xxxx831,129,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,3,46,129,舒跑S運補飲料,,
手機條碼,20260315,YX7xxxx831,169,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,169,169,萬歲牌綜合纖果,,
手機條碼,20260315,YX7xxxx831,63,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,69,63,開心成長可爾必思,,
手機條碼,20260315,YX7xxxx831,249,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,398,249,雷霆旋轉充電式蚊拍,,
手機條碼,20260315,YX7xxxx831,45,開立已確認,否,27942905,家福股份有限公司成功分公司,高雄市前鎮區忠純里中華五路１１１１號,,1,48,45,黑松FIN健康飲300ml,,
手機條碼,20260315,YN7xxxx962,540,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,18,30,540,30元盤,,
手機條碼,20260315,YN7xxxx962,30,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,30,30,30元盤,,
手機條碼,20260315,YN7xxxx962,640,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,16,40,640,40元盤,,
手機條碼,20260315,YN7xxxx962,180,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,3,60,180,60元盤,,
手機條碼,20260315,YN7xxxx962,50,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,50,50,蛤!味噌湯,,
手機條碼,20260315,YN7xxxx962,40,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,40,40,可爾必思,,
手機條碼,20260315,YN7xxxx962,40,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,40,40,檸檬可樂,,
手機條碼,20260315,YN7xxxx962,-90,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,-90,-90,30元壽司3盤(消費滿250元兌換),,
手機條碼,20260315,YN7xxxx962,-30,開立已確認,否,28210941,爭鮮股份有限公司成功家分公司,高雄市前鎮區中華五路1111號07-5369232,,1,-30,-30,【爭鮮迴轉】鮮蝦手卷1支(消費滿200元兌換),,
手機條碼,20260313,ZD1xxxx087,1000,開立已確認,否,23838803,麻新加油站股份有限公司,台南市麻豆區小埤里苓子林30號,,32.88,30.4,1000,95無鉛汽油,,
手機條碼,20260312,YW0xxxx469,68,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,68,68,B13_四重麥香魚,,
手機條碼,20260312,YW0xxxx469,33,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,33,33,零卡可-小,,
手機條碼,20260311,YM1xxxx735,49,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,49,49,日式豆皮壽司,,
手機條碼,20260311,YM1xxxx735,28,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,28,28,桂格喝的燕麥,,
手機條碼,20260311,YM1xxxx735,-10,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-10,-10,折讓,,
手機條碼,20260310,YW0xxxx294,68,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,68,68,B13_四重麥香魚,,
手機條碼,20260310,YW0xxxx294,33,開立已確認,否,60927319,和德昌股份有限公司台中梧棲門市部,臺中市梧棲區草湳里臺灣大道９段２１７號,,1,33,33,零卡可-小,,
手機條碼,20260309,YM1xxxx987,0,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,4,0,0,A印花貼紙張,,
手機條碼,20260309,YM1xxxx987,30,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,30,30,丹麥紅豆麵包,,
手機條碼,20260309,YM1xxxx987,30,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,30,30,蜂蜜小可頌,,
手機條碼,20260309,YM1xxxx987,579,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,579,579,無調味綜合堅果,,
手機條碼,20260309,YM1xxxx987,55,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,55,55,桂格喝的燕麥,,
手機條碼,20260309,YM1xxxx987,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食草莓,,
手機條碼,20260309,YM1xxxx987,219,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,219,219,蕎拉穀食蜜蕉巧,,
手機條碼,20260309,YM1xxxx987,-231,開立已確認,否,51283826,全聯實業股份有限公司梧棲文昌分公司,臺中市梧棲區文昌路501號,,1,-231,-231,折讓,,
手機條碼,20260308,ZN2xxxx808,52,開立已確認,否,91002999,酷澎股份有限公司,臺北市信義區信義路五段7號13樓,,1,52,52,京甫 亮彩燙金畫, Hello Kitty, 1組
手機條碼,20260308,ZA5xxxx759,440,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,11,40,440,壽司盤,,
手機條碼,20260308,ZA5xxxx759,60,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,1,60,60,茶碗蒸,,
手機條碼,20260308,ZA5xxxx759,390,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,3,130,390,紅碗,,
手機條碼,20260308,ZA5xxxx759,60,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,1,60,60,小缽,,
手機條碼,20260308,ZA5xxxx759,50,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,1,50,50,50元壽司盤,,
手機條碼,20260308,ZA5xxxx759,240,開立已確認,否,61100483,亞洲藏壽司股份有限公司高雄五福光華店,高雄市苓雅區五福一路３８號,,3,80,240,80元壽司盤,,
手機條碼,20260308,YP4xxxx786,1000,開立已確認,否,91227792,台灣中油股份有限公司油品行銷事業部高雄營業處恆春加油站,屏東縣恆春鎮網紗里省北路7號,,34.6,28.9,1000,【113F 12095001】９５無鉛汽油,,
手機條碼,20260308,YM0xxxx919,279,開立已確認,否,70739971,海景世界企業股份有限公司,屏東縣車城鄉後灣村後灣路2號,,1,279,279,炸雞套餐-279元,,
手機條碼,20260308,YM0xxxx919,299,開立已確認,否,70739971,海景世界企業股份有限公司,屏東縣車城鄉後灣村後灣路2號,,1,299,299,脆皮雞排蛋包飯299元,,
手機條碼,20260307,YV9xxxx674,52,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,52,52,餐-麥香魚M,,
手機條碼,20260307,YV9xxxx674,0,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,0,40,0,薯條-小,,
手機條碼,20260307,YV9xxxx674,58,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,58,58,冰蜂蜜紅茶,,
手機條碼,20260307,YV9xxxx674,50,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,50,50,加購巧克力可頌,,
手機條碼,20260307,YV9xxxx674,27,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,27,27,配-經典中薯,,
手機條碼,20260307,YV9xxxx674,68,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,68,68,B13_四重麥香魚,,
手機條碼,20260307,YV9xxxx674,33,開立已確認,否,54370198,和德昌股份有限公司恆春恒公分公司,屏東縣恆春鎮恆公路950、952號,,1,33,33,零卡可-小,,
